,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
0,False,/bQXAqRx2Fgc46uCVWgoPz5L5Dtr.jpg,,200000000,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",https://www.dc.com/BlackAdam,436270,tt6443346,en,Black Adam,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",6345.586,/pFlaoHTZeyNkG83vxsAJiGzfSsa.jpg,"[{'id': 12, 'logo_path': '/iaYpEp3LQmb8AfAtmTvpqd4149c.png', 'name': 'New Line Cinema', 'origin_country': 'US'}, {'id': 34081, 'logo_path': None, 'name': 'Flynn Picture Company', 'origin_country': 'US'}, {'id': 73669, 'logo_path': '/7tmSGstK3KwgcDIuBYLTAayjit9.png', 'name': 'Seven Bucks Productions', 'origin_country': 'US'}, {'id': 128064, 'logo_path': '/13F3Jf7EFAcREU0xzZqJnVnyGXu.png', 'name': 'DC Films', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2022-10-19,384571691,125,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,The world needed a hero. It got Black Adam.,Black Adam,False,7.315,2686
1,False,/53BC9F2tpZnsGno2cLhzvGprDYS.jpg,,0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",https://www.netflix.com/title/81245455/,736526,tt11116912,no,Troll,"Deep inside the mountain of Dovre, something gigantic awakens after being trapped for a thousand years. Destroying everything in its path, the creature is fast approaching the capital of Norway. But how do you stop something you thought only existed in Norwegian folklore?",5925.235,/9z4jRr43JdtU66P0iy8h18OyLql.jpg,"[{'id': 108394, 'logo_path': '/d4k0i3TpLTxiJ4ZtOYftE5vL91Z.png', 'name': 'Motion Blur', 'origin_country': 'NO'}]","[{'iso_3166_1': 'NO', 'name': 'Norway'}]",2022-12-01,0,104,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Norwegian', 'iso_639_1': 'no', 'name': 'Norsk'}]",Released,Mountains will move.,Troll,False,6.774,514
2,False,/7zQJYV02yehWrQN6NjKsBorqUUS.jpg,,50000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",https://www.thewomanking.movie/,724495,tt8093700,en,The Woman King,"The story of the Agojie, the all-female unit of warriors who protected the African Kingdom of Dahomey in the 1800s with skills and a fierceness unlike anything the world has ever seen, and General Nanisca as she trains the next generation of recruits and readies them for battle against an enemy determined to destroy their way of life.",3202.881,/lQMJHnHxUyj8kJlC2YOKNuzuwMP.jpg,"[{'id': 559, 'logo_path': '/jqWioYeGSyTLuHth0141bTGvu6H.png', 'name': 'TriStar Pictures', 'origin_country': 'US'}, {'id': 8147, 'logo_path': '/q6HOAdSNgCbeOqwoMVRc6REgbXF.png', 'name': 'Entertainment One', 'origin_country': 'CA'}, {'id': 64469, 'logo_path': '/1hhdZwxGJDvFDArF8VDiqtdorSq.png', 'name': 'JuVee Productions', 'origin_country': 'US'}, {'id': 137188, 'logo_path': None, 'name': 'Jack Blue Productions', 'origin_country': ''}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2022-09-15,91000000,135,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Her reign begins.,The Woman King,False,7.861,689
3,False,/kmzppWh7ljL6K9fXW72bPN3gKwu.jpg,"{'id': 1041695, 'name': 'R.I.P.D. Collection', 'poster_path': '/3T5sF3dyECdfXNSXcq3RsDhk6yu.jpg', 'backdrop_path': '/qeEJNtRhT1YqLZtMSEOEtJkKvyd.jpg'}",130,"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",,1013860,tt21094994,en,R.I.P.D. 2: Rise of the Damned,"When Sheriff Roy Pulsipher finds himself in the afterlife, he joins a special police force and returns to Earth to save humanity from the undead.",2137.113,/g4yJTzMtOBUTAR2Qnmj8TYIcFVq.jpg,"[{'id': 17009, 'logo_path': '/ssowAxOrrqsSR2CKeiytOXwLoCW.png', 'name': 'Universal 1440 Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2022-11-15,78324220,102,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Meet the new law of the Afterlife.,R.I.P.D. 2: Rise of the Damned,False,6.685,227
4,False,/dsWxCsAdsocMNQFbhe39ynAOhBa.jpg,,0,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",,1049233,tt23343786,pl,Plan lekcji,"After a teacher dies, his best friend — a former cop — takes a job at the school where he worked to confront the gang he thinks was responsible.",2222.046,/wawP3mOUeRBrAtnbPwWK5eFaMdV.jpg,[],"[{'iso_3166_1': 'PL', 'name': 'Poland'}]",2022-11-23,0,101,"[{'english_name': 'Polish', 'iso_639_1': 'pl', 'name': 'Polski'}]",Released,,Lesson Plan,False,5.922,45
5,False,/xDMIl84Qo5Tsu62c9DGWhmPI67A.jpg,"{'id': 529892, 'name': 'Black Panther Collection', 'poster_path': '/uVnN6KnfDuHiC8rsVsSc7kk0WRD.jpg', 'backdrop_path': '/yzVxUMYGKjK3GgmVI2BhmbuL9UY.jpg'}",250000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",https://wakandaforevertickets.com,505642,tt9114286,en,Black Panther: Wakanda Forever,"Queen Ramonda, Shuri, M’Baku, Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King T’Challa’s death. As the Wakandans strive to embrace their next chapter, the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for the kingdom of Wakanda.",2145.973,/ps2oKfhY6DL3alynlSqY97gHSsg.jpg,"[{'id': 420, 'logo_path': '/hUzeosd33nzE5MCNsZxCGEKTXaQ.png', 'name': 'Marvel Studios', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2022-11-09,767000000,162,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'Haitian; Haitian Creole', 'iso_639_1': 'ht', 'name': ''}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}, {'english_name': 'Xhosa', 'iso_639_1': 'xh', 'name': ''}]",Released,Forever.,Black Panther: Wakanda Forever,False,7.558,1292
6,False,/jCY35GkjwWUmoPO9EV1lWL6kuyj.jpg,,0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",,855440,tt15327556,es,Polar,"MG, a policewoman who has been expelled from the Corps due to the problems with alcohol and drugs that she has had since the loss of her son, receives a call from a man asking her to look for Macarena Gómez, a popular TV actress.",1620.226,/efuKHH9LqBZB67AS87kprLgaYO8.jpg,"[{'id': 158196, 'logo_path': '/1WyVKPKgrRKmxz2lgmogk5iDafa.png', 'name': 'Cilantro Films', 'origin_country': 'ES'}]","[{'iso_3166_1': 'ES', 'name': 'Spain'}]",2022-10-26,0,76,"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,,Polar,False,6.5,2
7,False,/vmDa8HijINCAFYKqsMz0YM3sVyE.jpg,,0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",http://www.23ten.com/one-way,747803,tt13075730,en,One Way,"On the run with a bag full of cash after a robbing his former crime boss—and a potentially fatal wound—Freddy slips onto a bus headed into the unrelenting California desert. With his life slipping through his fingers, Freddy is left with very few choices to survive.",1937.503,/uQCxOziq79P3wDsRwQhhkhQyDsJ.jpg,"[{'id': 76991, 'logo_path': '/pQjdvbv4y9yuIDSHDEHc9ijJKaS.png', 'name': 'Highland Film Group', 'origin_country': 'US'}, {'id': 104678, 'logo_path': '/3SsbZgTQDicxLi5uUS2LCkthsmc.png', 'name': '23ten', 'origin_country': 'GB'}, {'id': 117761, 'logo_path': None, 'name': 'Streamline Global Group', 'origin_country': 'US'}, {'id': 119056, 'logo_path': '/M1JqFOGwyWX3MbGnBklUCieJ9o.png', 'name': 'Particular Crowd', 'origin_country': 'US'}, {'id': 149070, 'logo_path': None, 'name': 'Bay Point Media', 'origin_country': 'US'}, {'id': 164800, 'logo_path': None, 'name': 'Source Management + Production', 'origin_country': ''}, {'id': 179981, 'logo_path': None, 'name': 'Thomasville Pictures', 'origin_country': 'US'}, {'id': 179982, 'logo_path': None, 'name': 'Ignition Film Productions', 'origin_country': 'IE'}, {'id': 179983, 'logo_path': None, 'name': 'Short Porch Pictures', 'origin_country': 'US'}, {'id': 179986, 'logo_path': None, 'name': 'Baird Film', 'origin_country': 'US'}]","[{'iso_3166_1': 'IE', 'name': 'Ireland'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2022-09-02,0,96,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,No wrong turn goes unpunished.,One Way,False,7.0,32
8,False,/3RJ0B8JnwuOaQf6qmwTILXibcJj.jpg,,0,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 14, 'name': 'Fantasy'}]",https://www.greenappleent.com/project/alien-sniperess/,941520,tt14668358,en,Alien Sniperess,A female sniper on military leave promises to fulfill her fiancé’s dying wish until she encounters a hostile alien invasion and is tasked with saving countless lives.,1919.03,/bI1ZDRkerXrcaFa5kWjEMw80aqE.jpg,"[{'id': 110989, 'logo_path': '/gBvtvmI72QHMIMu1mXcqpi729pE.png', 'name': 'Paradox Universe', 'origin_country': 'US'}, {'id': 128635, 'logo_path': None, 'name': 'Green Apple Productions', 'origin_country': ''}]",[],2022-04-08,0,94,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,One shot one kill for mankind.,Alien Sniperess,False,4.167,6
9,False,/sP1ShE4BGLkHSRqG9ZeGHg6C76t.jpg,,0,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",,934641,tt11833408,en,The Minute You Wake Up Dead,"A stockbroker in a small southern town gets embroiled in an insurance scam with a next-door neighbor that leads to multiple murders when a host of other people want in on the plot. Sheriff Thurmond Fowler, the by-the-book town sheriff for over four decades, works earnestly to try and unravel the town’s mystery and winds up getting more than he bargained for.",1807.37,/pUPwTbnAqfm95BZjNBnMMf39ChT.jpg,"[{'id': 2100, 'logo_path': None, 'name': 'Andrew Stevens Entertainment', 'origin_country': ''}, {'id': 185588, 'logo_path': None, 'name': 'Eyevox Entertainment', 'origin_country': ''}, {'id': 185589, 'logo_path': None, 'name': 'Milestone Studios', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2022-11-04,0,90,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Don't trust a soul.,The Minute You Wake Up Dead,False,5.043,23
